"","stuntingZ_all_2015","stuntingZ_all_2015p","term","stuntingZ_all_2012","stuntingZ_all_2012p","stuntingZ_nogeo_2015","stuntingZ_nogeo_2015p","stuntingZ_nogeo_2012","stuntingZ_nogeo_2012p","stuntingZ_noMomData_2015","stuntingZ_noMomData_2015p","stuntingZ_noMomData_2012","stuntingZ_noMomData_2012p","stuntingZ_FCSgrps_2015","stuntingZ_FCSgrps_2015p","stuntingZ_plusAltitude_2012","stuntingZ_plusAltitude_2012p"
"29",0.00146898247447476,0.977585452618606,"head_education_catprim_vocational",0.0722134506115657,0.111545001716659,-0.0123137610479362,0.816359206394655,0.0584525961497391,0.194989815438005,0.00624154676209991,0.892126031031613,0.0700079721135058,0.0796718137189433,0.00577099459500898,0.900479090957074,0.06419653458007,0.156234205756528
"30",0.0437725491578714,0.595780603416655,"head_education_catsec_plus",0.112656439090194,0.14350200421659,-0.00971827435127337,0.907329055354681,0.0976776698347724,0.201883055272149,0.108914548010333,0.133212172088068,0.17298241935778,0.0101235773297034,0.119607841562381,0.0988060348435721,0.10429389080404,0.174465160565033
"31",0.265945988395973,0.0947360219112337,"mother_age",0.0400448472407216,0.767922174918313,0.202401637035605,0.207952734428369,0.0503554027441857,0.71021880294248,NA,NA,NA,NA,NA,NA,0.0356991200163533,0.791891545139491
"32",-0.248146665021886,0.115051853761098,"mother_age_sq",-0.00815989583174694,0.952013946324112,-0.1943358762628,0.221931781840162,-0.0159843595239821,0.905994725468537,NA,NA,NA,NA,NA,NA,-0.00168067169576344,0.990081528278247
"33",0.00873149269775634,0.860307028560492,"mother_educationSome primary",NA,NA,0.0206548596267796,0.680358799730735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0.051568237536938,0.33883757210891,"mother_educationCompleted primary and or vocational training",NA,NA,0.0682728495820513,0.208629027955729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",0.191944809329836,0.0151751550768192,"mother_educationSome secondary and above",NA,NA,0.179581728383484,0.0249638886485034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.0298081177170437,0.145902491997101,"num_antenatal_visits",NA,NA,0.0281151537709093,0.172872411688443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.052352490061791,0.345519024552297,"mother_mosquito_net",0.0219124593246737,0.583688019095747,0.175103323015985,0.00124001926807499,-0.000997032203133927,0.980121496752744,NA,NA,NA,NA,NA,NA,0.00305704545722711,0.939205618784876
"38",-0.600938386026803,2.55915324719096e-06,"stunted_mother",-0.564713771155112,1.10002659566874e-07,-0.581537547855732,6.66113870666142e-06,-0.578690138355886,4.72761589141763e-08,NA,NA,NA,NA,NA,NA,-0.579036234234292,4.83468060171494e-08
